expected,acc,given,rt,subj,folder,item,dependency
l,0,k,1902,67,10.3,9,non-adjacent
k,0,l,1151,67,10.3,4,non-adjacent
k,1,k,603,67,10.3,8,non-adjacent
k,1,k,1565,67,10.3,15,adjacent
k,0,l,718,67,10.3,2,non-adjacent
l,0,k,815,67,10.3,14,adjacent
k,0,l,530,67,10.3,19,adjacent
l,0,k,2828,67,10.3,18,adjacent
l,0,k,2813,69,10.3,7,non-adjacent
l,0,k,602,69,10.3,12,adjacent
k,1,k,4016,69,10.3,11,adjacent
k,1,k,659,69,10.3,6,non-adjacent
l,0,k,748,69,10.3,14,adjacent
l,0,k,563,69,10.3,1,non-adjacent
l,0,k,539,69,10.3,20,adjacent
l,0,k,688,69,10.3,3,non-adjacent
k,1,k,521,69,10.3,2,non-adjacent
k,1,k,809,69,10.3,13,adjacent
k,1,k,873,69,10.3,8,non-adjacent
k,1,k,660,69,10.3,4,non-adjacent
k,1,k,3287,69,10.3,17,adjacent
l,0,k,602,69,10.3,9,non-adjacent
l,0,k,615,69,10.3,16,adjacent
k,1,k,915,69,10.3,10,non-adjacent
l,0,k,847,69,10.3,18,adjacent
k,0,l,1157,69,10.3,15,adjacent
k,0,l,1237,69,10.3,19,adjacent
l,1,l,483,69,10.3,5,non-adjacent
l,1,l,3478,52,10.7,11,adjacent
k,0,l,5383,52,10.7,18,adjacent
k,1,k,4970,52,10.7,9,non-adjacent
k,1,k,1001,52,10.7,5,non-adjacent
k,1,k,1552,52,10.7,14,adjacent
k,1,k,591,52,10.7,12,adjacent
l,1,l,4953,52,10.7,6,non-adjacent
l,0,k,171,52,10.7,13,adjacent
l,0,k,870,52,10.7,10,non-adjacent
k,1,k,3264,52,10.7,7,non-adjacent
l,0,k,1411,52,10.7,15,adjacent
l,0,k,1155,52,10.7,8,non-adjacent
l,1,l,890,52,10.7,2,non-adjacent
k,1,k,6078,52,10.7,20,adjacent
k,1,k,3273,52,10.7,16,adjacent
k,1,k,3641,52,10.7,3,non-adjacent
l,1,l,1317,52,10.7,4,non-adjacent
l,0,k,717,52,10.7,17,adjacent
k,1,k,1105,52,10.7,1,non-adjacent
l,0,k,1044,52,10.7,19,adjacent
k,1,k,687,54,10.7,9,non-adjacent
k,1,k,512,54,10.7,5,non-adjacent
k,1,k,1621,54,10.7,7,non-adjacent
k,1,k,391,54,10.7,14,adjacent
l,0,k,1033,54,10.7,4,non-adjacent
k,1,k,652,54,10.7,12,adjacent
k,1,k,527,54,10.7,20,adjacent
l,0,k,439,54,10.7,2,non-adjacent
l,0,k,475,54,10.7,10,non-adjacent
l,0,k,337,54,10.7,6,non-adjacent
l,0,k,372,54,10.7,13,adjacent
k,1,k,508,54,10.7,1,non-adjacent
l,0,k,425,54,10.7,19,adjacent
l,0,k,539,54,10.7,8,non-adjacent
l,0,k,340,54,10.7,15,adjacent
k,1,k,510,54,10.7,3,non-adjacent
l,0,k,383,54,10.7,11,adjacent
k,1,k,394,54,10.7,18,adjacent
l,0,k,420,54,10.7,17,adjacent
k,1,k,350,54,10.7,16,adjacent
l,1,l,3266,56,10.7,8,non-adjacent
l,1,l,1122,56,10.7,2,non-adjacent
k,1,k,4307,56,10.7,12,adjacent
l,1,l,4029,56,10.7,19,adjacent
k,1,k,1538,56,10.7,7,non-adjacent
l,0,k,2462,56,10.7,6,non-adjacent
k,0,l,382,56,10.7,9,non-adjacent
k,1,k,611,56,10.7,3,non-adjacent
k,0,l,553,56,10.7,5,non-adjacent
k,1,k,2510,56,10.7,18,adjacent
l,1,l,607,56,10.7,13,adjacent
l,1,l,2971,56,10.7,4,non-adjacent
k,0,l,1526,56,10.7,16,adjacent
l,1,l,365,56,10.7,10,non-adjacent
l,1,l,493,56,10.7,17,adjacent
l,0,k,996,56,10.7,11,adjacent
l,1,l,474,56,10.7,15,adjacent
k,1,k,242,56,10.7,1,non-adjacent
k,1,k,1743,56,10.7,14,adjacent
k,0,l,1872,56,10.7,20,adjacent
k,0,l,2032,58,10.7,12,adjacent
k,0,l,1745,58,10.7,14,adjacent
k,0,l,1307,58,10.7,18,adjacent
l,1,l,7320,58,10.7,19,adjacent
k,0,l,660,58,10.7,16,adjacent
l,1,l,1656,58,10.7,2,non-adjacent
k,0,l,11167,58,10.7,20,adjacent
l,1,l,1780,58,10.7,4,non-adjacent
l,1,l,524,58,10.7,8,non-adjacent
l,1,l,566,58,10.7,17,adjacent
k,0,l,1544,58,10.7,3,non-adjacent
l,1,l,3498,58,10.7,11,adjacent
k,0,l,2828,58,10.7,9,non-adjacent
k,0,l,1564,58,10.7,1,non-adjacent
l,1,l,537,58,10.7,13,adjacent
l,1,l,1628,58,10.7,15,adjacent
k,0,l,1330,58,10.7,5,non-adjacent
l,1,l,921,58,10.7,10,non-adjacent
k,0,l,3093,58,10.7,7,non-adjacent
l,1,l,1116,58,10.7,6,non-adjacent
k,1,k,174,60,10.7,12,adjacent
k,0,l,2060,60,10.7,5,non-adjacent
l,0,k,1330,60,10.7,11,adjacent
l,0,k,818,60,10.7,8,non-adjacent
l,0,k,2554,60,10.7,4,non-adjacent
l,1,l,1129,60,10.7,15,adjacent
k,1,k,329,60,10.7,14,adjacent
k,1,k,397,60,10.7,7,non-adjacent
k,0,l,666,60,10.7,18,adjacent
l,1,l,1300,60,10.7,13,adjacent
l,0,k,501,60,10.7,17,adjacent
k,0,l,165,60,10.7,3,non-adjacent
k,1,k,1281,60,10.7,1,non-adjacent
k,1,k,413,60,10.7,20,adjacent
l,0,k,788,60,10.7,19,adjacent
l,1,l,692,60,10.7,2,non-adjacent
l,1,l,1807,60,10.7,6,non-adjacent
k,0,l,1524,60,10.7,9,non-adjacent
k,1,k,336,60,10.7,16,adjacent
l,0,k,479,60,10.7,10,non-adjacent
k,0,l,7720,62,10.7,14,adjacent
l,1,l,304,62,10.7,4,non-adjacent
k,0,l,965,62,10.7,16,adjacent
l,1,l,148,62,10.7,2,non-adjacent
l,1,l,1122,62,10.7,8,non-adjacent
k,0,l,665,62,10.7,7,non-adjacent
l,1,l,871,62,10.7,15,adjacent
l,1,l,1004,62,10.7,17,adjacent
k,0,l,124,62,10.7,3,non-adjacent
k,0,l,138,62,10.7,12,adjacent
k,0,l,115,62,10.7,18,adjacent
l,1,l,748,62,10.7,10,non-adjacent
k,0,l,545,62,10.7,20,adjacent
k,1,k,4235,62,10.7,9,non-adjacent
l,1,l,823,62,10.7,6,non-adjacent
l,1,l,826,62,10.7,11,adjacent
k,0,l,2941,62,10.7,1,non-adjacent
l,1,l,75,62,10.7,19,adjacent
l,1,l,749,62,10.7,13,adjacent
k,0,l,991,62,10.7,5,non-adjacent
l,0,k,1845,64,10.7,4,non-adjacent
l,1,l,612,64,10.7,8,non-adjacent
l,0,k,690,64,10.7,6,non-adjacent
k,0,l,2630,64,10.7,16,adjacent
k,1,k,568,64,10.7,14,adjacent
k,0,l,3133,64,10.7,5,non-adjacent
k,1,k,1957,64,10.7,12,adjacent
l,1,l,1633,64,10.7,15,adjacent
k,1,k,573,64,10.7,20,adjacent
k,0,l,239,64,10.7,7,non-adjacent
k,0,l,226,64,10.7,3,non-adjacent
l,0,k,1780,64,10.7,11,adjacent
k,0,l,471,64,10.7,9,non-adjacent
l,0,k,336,64,10.7,17,adjacent
l,1,l,518,64,10.7,10,non-adjacent
k,0,l,520,64,10.7,18,adjacent
l,1,l,306,64,10.7,19,adjacent
l,1,l,277,64,10.7,2,non-adjacent
l,0,k,273,64,10.7,13,adjacent
k,1,k,656,64,10.7,1,non-adjacent
k,1,k,726,66,10.7,12,adjacent
l,1,l,558,66,10.7,17,adjacent
l,1,l,461,66,10.7,13,adjacent
l,1,l,487,66,10.7,2,non-adjacent
k,0,l,460,66,10.7,9,non-adjacent
k,1,k,534,66,10.7,7,non-adjacent
l,1,l,363,66,10.7,6,non-adjacent
l,1,l,918,66,10.7,10,non-adjacent
l,0,k,436,66,10.7,15,adjacent
l,1,l,2110,66,10.7,19,adjacent
k,0,l,650,66,10.7,18,adjacent
l,0,k,602,66,10.7,11,adjacent
k,0,l,511,66,10.7,14,adjacent
k,1,k,401,66,10.7,1,non-adjacent
k,1,k,557,66,10.7,5,non-adjacent
k,1,k,1799,66,10.7,16,adjacent
k,0,l,494,66,10.7,20,adjacent
l,0,k,674,66,10.7,8,non-adjacent
k,1,k,554,66,10.7,3,non-adjacent
l,0,k,698,66,10.7,4,non-adjacent
k,1,k,59,68,10.7,16,adjacent
k,1,k,3799,68,10.7,12,adjacent
l,0,k,687,68,10.7,4,non-adjacent
l,0,k,668,68,10.7,15,adjacent
k,1,k,1125,68,10.7,9,non-adjacent
k,1,k,1508,68,10.7,18,adjacent
l,0,k,1168,68,10.7,10,non-adjacent
l,1,l,1228,68,10.7,17,adjacent
k,0,l,593,68,10.7,7,non-adjacent
l,0,k,83,68,10.7,8,non-adjacent
l,0,k,997,68,10.7,6,non-adjacent
k,1,k,3571,68,10.7,20,adjacent
k,0,l,798,68,10.7,1,non-adjacent
l,1,l,1081,68,10.7,11,adjacent
l,0,k,565,68,10.7,2,non-adjacent
k,1,k,1189,68,10.7,3,non-adjacent
k,1,k,1074,68,10.7,5,non-adjacent
k,0,l,941,68,10.7,14,adjacent
l,0,k,730,68,10.7,19,adjacent
l,1,l,789,68,10.7,13,adjacent
l,1,l,1956,70,10.7,13,adjacent
k,1,k,1114,70,10.7,3,non-adjacent
k,1,k,973,70,10.7,7,non-adjacent
l,0,k,950,70,10.7,2,non-adjacent
l,0,k,129,70,10.7,6,non-adjacent
k,0,l,678,70,10.7,5,non-adjacent
l,0,k,719,70,10.7,4,non-adjacent
l,0,k,676,70,10.7,15,adjacent
k,1,k,691,70,10.7,1,non-adjacent
k,0,l,973,70,10.7,14,adjacent
k,0,l,765,70,10.7,18,adjacent
l,1,l,820,70,10.7,17,adjacent
l,0,k,578,70,10.7,11,adjacent
k,0,l,722,70,10.7,9,non-adjacent
l,0,k,128,70,10.7,10,non-adjacent
l,0,k,765,70,10.7,8,non-adjacent
k,1,k,1910,70,10.7,20,adjacent
k,1,k,19,70,10.7,12,adjacent
k,0,l,1491,70,10.7,16,adjacent
l,0,k,557,70,10.7,19,adjacent
